Rank,Country Name,Language(s),Country Native Name
160,South Africa,"Afrikaans, English, isiZulu, isiXhoas, Pedi, Sotho, Tswana, Venda, Tsonga, Swazi, Ndebele","Suid-Afrika, South Africa, iNingizimu Afrika, uMzantsi Afrika, Afrika-Borwa, Afrika Borwa, Aforika Borwa, Afurika Tshipembe, Afrika Dzonga, iNingizimu Afrika, iSewula Afrika"
161,South Sudan,"English, Dinka, Swahili","South Sudan, Paguot Thudän, Sudan Kusini"
162,Spain,"Spanish, Catalan, Basque","España, Espanya, Espainia"
163,Sri Lanka,"Sinhala, Tamil",Sri Lankā ශ්‍රී ලංකාව இலங்கை
164,Sudan,Arabic,As-Sudan السودان
165,Sweden,Swedish,Sverige
166,Switzerland,"French, German, Italian, Romansh","Suisse, Schweiz, Svizzera, Svizra"
167,Syria,Arabic,Suriyah سورية
168,Tajikistan,Tajiki-Persian,Tojikistan Тоҷикистон
169,Tanzania,"English, Swahili",Tanzania
170,Thailand,Thai,"Mueang Thai, Prathet Thai, Ratcha-anachak Thai เมืองไทย, ประเทศไทย, ราชอาณาจักรไทย"
171,Togo,"Ewe, French, Kabiye","Togo, Togo, Togo"
172,Tonga,"English, Tongan",Tonga
173,Trinidad and Tobago,English,Trinidad and Tobago
174,Tunisia,"Arabic,Berber","Tunes, تونس"
,Turkey,Turkish,Türkiye
175,Turkmenistan,Turkmen,Türkmenistan
176,Tuvalu,"English, Tuvaluan",Tuvalu
177,Uganda,"Enlish, Swahili",Uganda
178,Ukraine,Ukrainian,Ukraїna Україна
179,United Arab Emirates,Arabic,Al-’Imārat Al-‘Arabiyyah Al-Muttaḥidah الإمارات العربيّة المتّحدة
180,United Kingdom,"English, Welsh, Scots, Irish","United Kingdom, Y Deyrnas Unedig, Rìoghachd Aonaichte, Ríocht Aontaithe"
181,United States,"English, Spanish","United States, Estados Unidos"
182,Uruguay,Spanish,Uruguay
183,Uzbekistan,Uzbek,O‘zbekiston Ўзбекистон
184,Vanuatu,French,Vanuatu
185,Vatican City,"Italian, latin","Città del Vaticano, Civitas Vaticana"
186,Venezuela,Spanish,Venezuela
187,Vietnam,Vietnamese,Việt Nam
188,Yemen,Arabic,Al-Yaman اليمن
189,Zambia,"Bemba, Chewa, English",Zambia
190,Zimbabwe,"English, Shona",Zimbabwe
